query_id,query_text
493,designer gold chain
437,kid branded astronaut helmet
463,designer eternity ring
49,stylish bag
33,casual sneakers
97,branded jeans
38,jewelry set
370,kid branded crown
232,pickup waterproof shoes
303,kid branded uniform
117,hoodie men
206,women branded sandals
53,cotton pajamas men
372,home desk lamps
426,ethnic choker set
364,home floor lamps
181,designer cufflinks
31,gym wear
149,home bedsheet king
90,workout tshirt
177,women yoga wear
296,kid branded dress set
380,designer leather belt
306,designer wine bag
252,ethnic sequin work
269,baby branded frock set
259,kid branded trackpants
256,home handpainted accessories
186,baby winter wear
69,office wear women
238,ethnic resin jewelry
462,home security lights
25,sports shoes
415,kid branded fireman costume
472,pickup turf shoes
397,pickup boxing shoes
207,ethnic jutti
340,kid branded princess dress
403,designer anklet
166,baby gift set
196,lounger shorts men
293,ethnic oxidized jewelry
406,ethnic antique finish jewelry
85,designer perfume women
450,women branded jelly heels
313,designer toiletry bag
178,kid designer wear
339,ethnic gemstone jewelry
147,ethnic gooti
212,ethnic lehenga choli
58,casual dress
78,checked shirt men
213,casual footwear women
469,home accent table lights
57,kurta pajama men
500,designer diamond jewelry
173,designer watch
497,kid branded rocket themed room
448,designer cocktail ring
202,ethnic bangles
358,designer leather wallet
271,designer messenger bag
143,ethnic embroidered kurta
21,evening dress
201,designer clutch
230,baby branded onesie
408,baby branded teether set
393,baby branded feeding pillow
11,winter jacket
280,designer weekend bag
348,baby branded onesie set
163,casual sandals men
220,kid branded tshirt
276,baby branded party wear
470,designer wedding ring
314,ethnic gotta patti
189,pickup sports shoes
317,ethnic gota patti
219,pickup hiking shoes
266,women branded jumpsuit
412,pickup wrestling shoes
140,casual wear men
169,pickup flip flops
436,ethnic nathni
200,home soft furnishings
242,home melamine dinnerware
210,baby branded clothes
27,office shirt
233,women branded scarf
481,ethnic hair accessories
9,polo shirt men
42,designer jeans
94,designer handbag women
343,designer sunglasses case
112,ethnic salwar suit
64,cocktail dress
483,baby branded diaper disposal system
99,baby dress
119,laptop messenger bag
427,pickup bodybuilding shoes
223,home cotton textiles
328,designer umbrella
255,baby branded winter wear
160,baby casual wear
395,designer charm bracelet
277,home living accessories
310,kid branded school bag
389,ethnic white gold jewelry
494,ethnic traditional wear complete
377,kid branded magic wand
141,pickup sneakers
460,kid branded rocket backpack
191,home multicolored decor
52,ankle jeans for women
132,lounger shirt men
351,ethnic jadau jewelry
278,ethnic silver jewelry
385,kid branded fairy wings
134,ethnic sherwani
421,ethnic ear tops
203,pickup outdoor shoes
363,baby branded receiving blanket
159,home handpainted decor
378,baby branded changing mat
91,embroidered kurta
445,kid branded space shuttle costume
258,pickup tennis shoes
80,home decor lamps
402,home wall sconces
334,baby branded bib sets
428,women branded gladiator sandals
371,baby branded swaddle
320,home bath linen
298,home room dividers
125,ethnic bandhgala
442,pickup climbing shoes
40,kids clothing
399,ethnic filigree work
381,ethnic rose gold jewelry
476,baby branded diaper stacker
250,home printed cushions
419,ethnic nath
222,baby branded dress
137,home kitchen storage
488,women branded slip on loafers
267,ethnic mirror work
240,ethnic kali pyjama
261,ethnic antique finish
362,kid branded tiara
253,women branded blazer
71,polo tshirt men
326,baby branded sun hat
241,baby branded romper
150,baby clothing set
435,women branded gladiator heels
467,kid branded rocket toys
330,pickup cross training shoes
32,wedding dress
114,pickup shoes men
129,ethnic bridal wear
61,printed shirt men
249,baby branded gift set
82,casual sneakers women
374,ethnic gold jewelry box
24,sunglasses
444,ethnic payal
179,home geometric decor
292,designer vanity bag
425,designer bracelet watch
451,ethnic bajuband
485,designer precious metal jewelry
216,baby branded shoes
47,plus size clothing
43,luxury perfume
244,ethnic ornamental jewelry
214,women branded perfume
432,home accent lights
100,college backpack
144,fitness tights
391,ethnic enamel jewelry
499,home atmospheric lights
350,designer keychain
96,cotton dress women
127,cotton casual dress
453,baby branded stroller
131,baby frock
136,kid ethnic wear
56,leather jacket men
176,sports tracksuit
338,women branded clogs
461,baby branded diaper bag
84,home furnishings
123,ethnic mojri
366,ethnic chandi jewelry
263,home decorative vases
498,baby branded baby bath tub
68,ethnic wear men
386,baby branded diaper pants
265,ethnic beading work
347,kid branded peter pan collar dress
41,branded t-shirt
1,blue jeans for women
302,ethnic jewelry box
190,kid ethnic set
87,slim fit shirt men
423,baby branded play gym
361,ethnic tera work
411,ethnic waist chain
456,ethnic hathpanjas
44,fashion accessories
482,kid branded rocket sheets
376,ethnic brass jewelry
486,ethnic hathphool complete
221,ethnic embroidered suit
291,home wall decor
369,ethnic silver jewelry box
20,workout clothes
121,kid jeans
388,designer stud bracelet
375,women branded stiletto heels
333,kid branded ballerina costume
401,baby branded nursing pillow
458,women branded slip on sneakers
492,home pendant lighting
282,women branded flats
103,ethnic lehenga
247,ethnic paisley print
55,sports watch
65,dress shirt men
5,leather handbag
474,ethnic earrings set
211,designer tote bag
59,formal trousers men
315,pickup football shoes
89,kid shorts
289,ethnic traditional jewelry
318,kid branded sports wear
337,ethnic precious stones
335,home towel sets
396,ethnic sterling silver
321,designer cosmetic bag
495,women branded slip on oxfords
18,home decor items
491,baby branded diaper zipper
225,designer crossbody bag
35,formal shoes
235,baby branded frock
367,pickup crossfit shoes
398,women branded mary janes
387,home chandeliers
19,bedsheet set
443,women branded jelly sandals
133,dog training accessories
76,bohemian dress
185,ethnic dhoti pant
139,ethnic dhoti
39,home furniture
194,baby casual shoes
226,women branded watch
170,kid formal wear
88,ethnic blouse
440,designer tennis bracelet
208,kid branded shoes
122,designer suit
433,designer cuff bracelet
332,ethnic meenakari jewelry
98,cocktail saree
105,beach dress
110,designer kurti
152,formal vest men
102,casual shirt women
79,ethnic palazzo
26,ethnic wear women
115,casual pant women
264,designer camera bag
331,women branded pumps
4,white sneakers
311,baby branded bath towel
168,ethnic armlet
237,designer backpack women
305,home decorative candles
157,women sports wear
294,women branded slippers
111,half sleeve shirt
74,baby clothing
281,ethnic lucky bag
126,school bag kids
228,kid branded jeans
400,kid branded pirate costume
193,designer aviator sunglasses
164,women formal suit
295,ethnic craft jewelry
301,women branded mules
153,ethnic overcoat
165,ethnic patiala salwar
257,ethnic bandhgala men
254,ethnic border work
175,ethnic choli
22,casual shorts
308,women branded loafers
10,black trousers
23,wristwatch
273,pickup running shoes
198,ethnic churidar men
304,baby branded character wear
75,kids dress
268,kid branded jacket
36,summer dress
359,ethnic polka jewelry
104,winter boots
454,home garden lights
484,home hanging lights
239,kid branded shorts
275,ethnic gold work
54,party dress women
45,comfortable bra
297,baby branded superhero costume
446,baby branded baby car seat
439,home track lighting
487,pickup track racing flats
449,ethnic mina work
471,ethnic jhumar
217,home floral decor
37,winter sweater
418,designer haath phool
283,ethnic handmade jewelry
424,home LED strips
336,designer jewelry box
309,ethnic antique jewelry
279,kid branded hoodie
46,maternity wear
66,floral dress women
60,ethnic saree
162,ethnic phulkari
394,home ceiling lights
430,kid branded scientist costume
205,ethnic kurta set women
413,women branded derby shoes
288,kid branded leggings
116,sports jersey
234,ethnic suede
473,women branded slip on mules
272,ethnic zardozi work
48,trendy shoes
392,kid branded superhero cape
101,gym shorts men
62,skinny jeans women
204,baby diaper bag
124,baby onesie
300,ethnic hand embroidery
452,kid branded rocket costume
466,ethnic hathpanja
17,gold jewelry
455,designer engagement ring
161,designer sunglasses
12,running shoes
404,ethnic temple jewelry
209,home geometric placemats
138,designer bag women
188,ethnic neck piece
327,home bath rug
373,designer card holder
417,home fairy lights
382,pickup weightlifting shoes
324,ethnic jhaalar work
146,kid tshirt
167,home dinner set
86,occasion wear women
496,ethnic bridal jewelry set
365,designer coin purse
319,baby branded swimsuit
182,ethnic waistcoat
106,formal shirt women
355,kid branded tutu dress
154,lounger tshirt men
195,ethnic topi
409,home recessed lights
50,home essentials
384,ethnic copper jewelry
6,red dress women
468,baby branded diaper covers
477,home tabletop lights
70,loungewear women
81,designer saree
346,ethnic kundan jewelry
135,women underwear
407,kid branded astronaut costume
465,women branded slip on pumps
345,women branded ballet flats
379,home pendant lights
284,baby branded formal wear
438,baby branded rocking chair
349,home napkin holders
357,home table lamps
459,ethnic necklace set
2,black formal shirt men
120,woven kurta men
390,women branded espadrilles
464,ethnic mang tika
383,women branded kitten heels
