query_id,query_text
1,blue jeans for women
2,black formal shirt men
3,casual t-shirt under 1000
4,white sneakers
5,leather handbag
6,red dress women
7,denim jacket
8,brown leather shoes
9,polo shirt men
10,black trousers
11,winter jacket
12,running shoes
13,formal suit men
14,cotton kurta women
15,backpack for college
16,perfume for men
17,gold jewelry
18,home decor items
19,bedsheet set
20,workout clothes
21,evening dress
22,casual shorts
23,wristwatch
24,sunglasses
25,sports shoes
26,ethnic wear women
27,office shirt
28,party wear
29,comfortable sandals
30,travel bag
31,gym wear
32,wedding dress
33,casual sneakers
34,designer handbag
35,formal shoes
36,summer dress
37,winter sweater
38,jewelry set
39,home furniture
40,kids clothing
41,branded t-shirt
42,designer jeans
43,luxury perfume
44,fashion accessories
45,comfortable bra
46,maternity wear
47,plus size clothing
48,trendy shoes
49,stylish bag
50,home essentials
